Word,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos,word,log_freq,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,subject,survey_code,responses,type,view_history,trial_category,stimulus,key_press,sensible,critical,Class,practice,order,correct,string,same,version_with_order,item_version,item,source,different_frame,ambiguity_type,response,correct_response,Gender,Native_Speaker,Mobile_Device,Age,B1,B2
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,193,,html-keyboard-response,152,98792,0.0-72.0-0.0,0tcxalq3x6,0tcxalq3x6,,,,,She had a writer's block.<p>,88,S,yes,N,main,first,,block,TRUE,M2_b_M2_a,M2_b,34,Klepousniotou et al (2008),No,Polysemy,N,FALSE,Female,Yes,No,22,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,175,,html-keyboard-response,153,98968,0.0-72.0-1.0,0tcxalq3x6,0tcxalq3x6,,,,,She had a mental block.<p>,88,S,yes,N,main,second,,block,TRUE,M2_b_M2_a,M2_a,34,Klepousniotou et al (2008),No,Polysemy,N,FALSE,Female,Yes,No,22,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,70,,html-keyboard-response,248,40406,0.0-120.0-0.0,whmv1sxv23,whmv1sxv23,,,,,She had a wooden block.<p>,88,S,yes,N,main,first,,block,FALSE,M1_b_M2_b,M1_b,34,Klepousniotou et al (2008),No,Polysemy,N,FALSE,Male,No,No,20,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,166,,html-keyboard-response,249,40572,0.0-120.0-1.0,whmv1sxv23,whmv1sxv23,,,,,She had a writer's block.<p>,88,S,yes,N,main,second,,block,FALSE,M1_b_M2_b,M2_b,34,Klepousniotou et al (2008),No,Polysemy,N,FALSE,Male,No,No,20,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,1776,,html-keyboard-response,224,407729,0.0-108.0-0.0,whcq3dwak8,whcq3dwak8,,,,,She had a writer's block.<p>,88,S,yes,N,main,first,,block,TRUE,M2_b_M2_a,M2_b,34,Klepousniotou et al (2008),No,Polysemy,N,FALSE,Female,Yes,No,21,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,1334,,html-keyboard-response,225,409064,0.0-108.0-1.0,whcq3dwak8,whcq3dwak8,,,,,She had a mental block.<p>,77,S,yes,N,main,second,,block,TRUE,M2_b_M2_a,M2_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,21,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,672,,html-keyboard-response,134,209996,0.0-63.0-0.0,61j2bnwqm2,61j2bnwqm2,,,,,She had a toy block.<p>,77,S,yes,N,main,first,,block,TRUE,M1_a_M1_b,M1_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,20,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,733,,html-keyboard-response,135,210729,0.0-63.0-1.0,61j2bnwqm2,61j2bnwqm2,,,,,She had a wooden block.<p>,77,S,yes,N,main,second,,block,TRUE,M1_a_M1_b,M1_b,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,20,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,2678,,html-keyboard-response,120,189847,0.0-56.0-0.0,uy35o8ol21,uy35o8ol21,,,,,She had a writer's block.<p>,88,S,yes,N,main,first,,block,TRUE,M2_b_M2_a,M2_b,34,Klepousniotou et al (2008),No,Polysemy,N,FALSE,Female,Yes,Yes,20,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,2020,,html-keyboard-response,121,191869,0.0-56.0-1.0,uy35o8ol21,uy35o8ol21,,,,,She had a mental block.<p>,77,S,yes,N,main,second,,block,TRUE,M2_b_M2_a,M2_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,Yes,20,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,839,,html-keyboard-response,198,254692,0.0-95.0-0.0,22b3ce8lsp,22b3ce8lsp,,,,,She had a mental block.<p>,77,S,yes,N,main,first,,block,FALSE,M2_a_M1_b,M2_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,19,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,863,,html-keyboard-response,199,255556,0.0-95.0-1.0,22b3ce8lsp,22b3ce8lsp,,,,,She had a wooden block.<p>,77,S,yes,N,main,second,,block,FALSE,M2_a_M1_b,M1_b,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,19,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,118,,html-keyboard-response,218,64281,0.0-105.0-0.0,mf8bx714wo,mf8bx714wo,,,,,She had a wooden block.<p>,77,S,yes,N,main,first,,block,TRUE,M1_b_M1_a,M1_b,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,20,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,119,,html-keyboard-response,219,64401,0.0-105.0-1.0,mf8bx714wo,mf8bx714wo,,,,,She had a toy block.<p>,77,S,yes,N,main,second,,block,TRUE,M1_b_M1_a,M1_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,20,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,1746,,html-keyboard-response,192,422485,0.0-92.0-0.0,h7cgtx628g,h7cgtx628g,,,,,She had a wooden block.<p>,77,S,yes,N,main,first,,block,FALSE,M1_b_M2_a,M1_b,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,24,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,875,,html-keyboard-response,193,423361,0.0-92.0-1.0,h7cgtx628g,h7cgtx628g,,,,,She had a mental block.<p>,77,S,yes,N,main,second,,block,FALSE,M1_b_M2_a,M2_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,24,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,2335,,html-keyboard-response,188,319448,0.0-90.0-0.0,f2xkbo98he,f2xkbo98he,,,,,She had a mental block.<p>,77,S,yes,N,main,first,,block,FALSE,M2_a_M1_b,M2_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,19,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,940,,html-keyboard-response,189,320389,0.0-90.0-1.0,f2xkbo98he,f2xkbo98he,,,,,She had a wooden block.<p>,77,S,yes,N,main,second,,block,FALSE,M2_a_M1_b,M1_b,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,19,2,Chair
